timestamp,open,high,low,close,volume
2025-02-14,259.0000,261.9400,257.9100,261.2800,3925277
2025-02-13,255.6600,259.2800,254.4100,259.1900,4531538
2025-02-12,252.7200,256.4000,252.0200,255.8100,3075308
2025-02-11,251.1000,256.7500,250.5800,254.7000,4801550
2025-02-10,250.8600,251.9500,246.8700,249.2700,3564400
2025-02-07,255.2800,256.9300,252.0200,252.3400,3370284
2025-02-06,262.9800,263.3800,252.7300,253.4400,6128293
2025-02-05,265.7100,265.7200,261.1800,263.3000,6165096
2025-02-04,260.0000,265.2500,258.1233,264.4600,6077652
2025-02-03,252.4000,262.0600,251.8400,260.7300,8408523
2025-01-31,256.0500,257.2350,251.8900,255.7000,7203519
2025-01-30,250.0000,261.8000,247.0100,258.2700,15381890
2025-01-29,225.6200,229.4700,223.7300,228.6300,7079804
2025-01-28,224.3200,225.7700,221.7700,225.6600,4485429
2025-01-27,222.1900,224.3000,219.8400,224.1300,4898355
2025-01-24,225.2700,226.8104,223.8000,224.8000,3233293
2025-01-23,223.9400,226.0400,223.1500,226.0400,3619651
2025-01-22,221.9800,224.4000,220.3500,223.2600,4759490
2025-01-21,224.9900,227.4500,222.8302,224.2600,3982203
2025-01-17,225.9550,225.9550,223.6400,224.7900,5506837
2025-01-16,219.6900,222.6800,217.3800,222.6600,3329060
2025-01-15,220.8700,221.6761,218.0100,220.0300,2951825
2025-01-14,218.0000,218.1250,214.6100,217.7500,3485829
2025-01-13,217.8900,219.5900,214.7500,217.4000,3716816
2025-01-10,222.0000,222.4300,216.8000,219.7500,3570497
2025-01-08,223.9100,224.9000,220.8300,223.1800,2619768
2025-01-07,223.3500,226.7110,222.8300,223.9600,3299701
2025-01-06,223.0000,224.3500,220.7500,222.6700,2847128
2025-01-03,220.5500,223.6600,220.5500,222.6500,3873578
2025-01-02,221.8200,222.4900,217.6000,219.9400,2579498
2024-12-31,220.7200,221.0493,218.4400,219.8300,2270512
2024-12-30,220.5400,221.5942,217.6523,220.2500,2095565
2024-12-27,223.1400,224.4200,221.4054,222.7800,1810760
2024-12-26,223.3100,225.4000,222.5500,224.8900,3287238
2024-12-24,222.2700,224.4446,221.5428,224.4100,1186216
2024-12-23,222.8100,223.7400,221.0800,221.9300,2988137
2024-12-20,222.7300,227.6847,221.6800,223.3600,12423200
2024-12-19,224.4200,226.2000,222.9800,223.9200,4430120
2024-12-18,229.0350,229.0350,220.0300,220.1700,4152517
2024-12-17,229.2300,230.2000,227.6200,228.9700,3651346
2024-12-16,230.7300,231.0300,226.8800,229.3300,3610257
2024-12-13,232.2500,233.7750,230.2600,230.8200,2757683
2024-12-12,230.6600,233.8900,230.3800,232.2600,4515741
2024-12-11,232.6900,233.0000,229.1300,230.1200,3872680
2024-12-10,228.4000,234.3900,227.8000,231.7200,4769531
2024-12-09,238.0000,239.3500,228.9100,230.0000,4970449
2024-12-06,234.4300,238.3800,234.2200,238.0400,4028430
2024-12-05,233.5500,236.5200,233.4600,234.7500,4791116
2024-12-04,230.0000,233.7400,229.3500,233.4900,4104195
2024-12-03,227.2400,229.1100,226.6700,229.0000,3163815
2024-12-02,227.5000,228.3800,225.5100,227.3900,2656181
2024-11-29,227.7500,230.3600,227.1900,227.4100,2640253
2024-11-27,228.8300,229.1900,224.2700,226.9200,2995121
2024-11-26,226.7300,228.9800,225.5115,228.8300,4449543
2024-11-25,223.3500,226.4200,222.6500,226.1300,7189260
2024-11-22,223.3500,227.2000,220.8900,222.9700,5320740
2024-11-21,215.8100,222.6300,215.2701,222.4000,5236434
2024-11-20,211.0000,214.9600,209.7725,214.6000,4562901
2024-11-19,206.5000,210.3300,206.1900,210.2500,2860746
2024-11-18,207.0000,208.4150,205.3701,208.0900,3406045
2024-11-15,207.4600,208.4900,204.0700,204.9900,3986460
